level,plevel,ptop
137,101204.94,101084.9
136,100953.63,100822.4
135,100679,100535.6
134,100379.06,100222.5
133,100051.65,99880.81
132,99694.52,99508.24
131,99305.27,99102.3
130,98881.33,98660.36
129,98420.02,98179.68
128,97918.52,97657.37
127,97373.92,97090.46
126,96783.15,96475.84
125,96143.11,95810.37
124,95450.59,95090.82
123,94702.4,94313.99
122,93895.32,93476.66
121,93026.18,92575.71
120,92091.93,91608.15
119,91089.65,90571.16
118,90016.69,89462.22
117,88870.66,88279.1
116,87649.57,87020.04
115,86351.9,85683.76
114,84976.68,84269.59
113,83523.58,82777.56
112,81993.02,81208.47
111,80386.22,79563.96
110,78705.28,77846.61
109,76953.29,76059.96
108,75134.26,74208.55
107,73253.25,72297.95
106,71316.31,70334.67
105,69330.43,68326.2
104,67303.52,66280.84
103,65244.24,64207.64
102,63161.94,62116.24
101,61066.46,60016.68
100,58967.97,57919.26
99,56876.78,55834.3
98,54803.12,53771.95
97,52756.96,51741.98
96,50750.21,49758.45
95,48794.7,47830.96
94,46897.08,45963.21
93,45058.58,44153.95
92,43277.92,42401.9
91,41553.87,40705.83
90,39885.16,39064.5
89,38270.58,37476.66
88,36708.89,35941.11
87,35198.87,34456.63
86,33739.32,33022.02
85,32329.04,31636.07
84,30966.84,30297.62
83,29651.55,29005.48